券商,交易日期,交易时间,证券代码,证券名称,买卖标志,成交价格,成交数量,成交金额,手续费,印花税,过户费,其他费,发生金额
湘财,2022-07-18,09:38:10.000000000,002462,嘉事堂,卖出,13.2062,10400.0,137344.0,21.98,137.35,1.38,0.0,137184.67
湘财,2022-07-18,09:44:52.000000000,600408,安泰集团,买入,3.19,47000.0,149930.0,23.99,0.0,1.51,0.0,-149955.5
湘财,2022-07-18,09:44:31.000000000,600648,外高桥,买入,12.6066,11900.0,150019.0,24.0,0.0,1.49,0.0,-150044.49
湘财,2022-07-18,09:43:38.000000000,600269,赣粤高速,买入,3.69,40700.0,150183.0,24.03,0.0,1.5,0.0,-150208.53
湘财,2022-07-18,09:42:51.000000000,600015,华夏银行,买入,5.07,30000.0,152100.0,24.34,0.0,1.52,0.0,-152125.86
湘财,2022-07-18,09:39:28.000000000,601992,金隅集团,卖出,2.5683,54000.0,138686.0,22.19,138.69,1.38,0.0,138523.74
湘财,2022-07-18,09:39:06.000000000,600894,广日股份,卖出,6.5419,21400.0,139996.0,22.4,140.02,1.46,0.0,139832.12
湘财,2022-07-18,09:38:30.000000000,601077,渝农商行,卖出,3.58,38300.0,137114.0,21.94,137.13,1.38,0.0,136953.55
湘财,2022-07-11,09:38:16.000000000,002462,嘉事堂,买入,13.51,10400.0,140504.0,22.48,0.0,1.41,0.0,-140526.48
湘财,2022-07-11,09:33:37.000000000,000900,现代投资,买入,4.05,34400.0,139320.0,22.29,0.0,1.39,0.0,-139342.29
湘财,2022-07-11,09:37:25.000000000,601992,金隅集团,买入,2.59,54000.0,139860.0,22.38,0.0,1.42,0.0,-139883.8
湘财,2022-07-11,09:36:30.000000000,600894,广日股份,买入,6.54,21400.0,139956.0,22.39,0.0,1.41,0.0,-139979.8
湘财,2022-07-11,09:34:24.000000000,601077,渝农商行,买入,3.65,38300.0,139795.0,22.37,0.0,1.38,0.0,-139818.75
湘财,2022-08-31,09:35:44.000000000,603878,武进不锈,买入,9.05,16900.0,152945.0,24.47,0.0,1.55,0.0,-152971.02
湘财,2022-08-31,09:30:42.000000000,605158,华达新材,卖出,7.3932,20800.0,153779.0,24.6,153.79,1.53,0.0,153599.08
湘财,2022-08-24,09:43:39.000000000,600015,华夏银行,卖出,5.1,3000.0,15300.0,2.45,15.3,0.16,0.0,15282.09
湘财,2022-08-24,09:42:45.000000000,600408,安泰集团,卖出,3.32,4000.0,13280.0,2.12,13.28,0.13,0.0,13264.47
湘财,2022-08-01,13:02:43.000000000,605158,华达新材,买入,6.7397,20800.0,140185.0,22.43,0.0,1.39,0.0,-140208.82
湘财,2022-08-01,13:00:02.000000000,600269,赣粤高速,卖出,3.46,40700.0,140822.0,22.53,140.81,1.4,0.0,140657.26
湘财,2022-09-01,09:41:06.000000000,603878,武进不锈,卖出,8.963,12200.0,109348.0,17.5,109.35,1.1,0.0,109220.05
湘财,2022-09-01,09:40:01.000000000,603878,武进不锈,卖出,9.0736,4700.0,42646.0,6.82,42.64,0.45,0.0,42596.09
湘财,2022-10-31,13:06:01.000000000,000096,广聚能源,买入,7.76,8500.0,65960.0,10.55,0.0,0.67,0.0,-65970.55
湘财,2022-10-31,13:00:04.000000000,002996,顺博合金,卖出,13.0553,5100.0,66582.0,10.65,66.68,0.6,0.0,66504.67
湘财,2022-10-31,09:32:54.000000000,000532,华金资本,卖出,10.3057,6900.0,71109.0,11.38,71.1,0.69,0.0,71026.52
湘财,2022-10-31,09:33:53.000000000,600800,渤海化学,买入,3.6748,15200.0,55857.0,8.94,0.0,0.55,0.0,-55866.49
湘财,2022-10-31,09:33:31.000000000,600800,渤海化学,买入,3.65,4100.0,14965.0,2.39,0.0,0.15,0.0,-14967.54
湘财,2022-10-27,10:25:16.000000000,002381,双箭股份,买入,5.93,8500.0,50405.0,8.06,0.0,0.51,0.0,-50413.06
湘财,2022-10-27,10:24:42.000000000,002381,双箭股份,买入,5.92,3300.0,19536.0,3.13,0.0,0.2,0.0,-19539.13
湘财,2022-10-27,10:24:18.000000000,002946,新乳业,卖出,10.8025,6500.0,70216.0,11.23,70.23,0.7,0.0,70134.54
湘财,2022-10-25,13:00:01.000000000,300641,正丹股份,卖出,5.32,200.0,1064.0,0.17,1.06,0.02,0.0,1062.77
湘财,2022-10-25,09:34:17.000000000,300283,温州宏丰,买入,5.25,300.0,1575.0,0.25,0.0,0.02,0.0,-1575.25
湘财,2022-10-25,09:32:33.000000000,002228,合兴包装,买入,3.1,22600.0,70060.0,11.21,0.0,0.71,0.0,-70071.21
湘财,2022-10-25,09:30:39.000000000,002996,顺博合金,卖出,13.64,100.0,1364.0,0.22,1.36,0.01,0.0,1362.42
湘财,2022-10-25,09:30:19.000000000,300368,汇金股份,卖出,6.2,100.0,620.0,0.1,0.62,0.01,0.0,619.28
湘财,2022-10-25,09:25:00.000000000,002998,优彩资源,卖出,6.73,100.0,673.0,0.11,0.67,0.01,0.0,672.22
湘财,2022-10-25,09:34:50.000000000,600829,人民同泰,买入,6.06,300.0,1818.0,0.29,0.0,0.02,0.0,-1818.31
湘财,2022-10-25,09:25:00.000000000,600839,四川长虹,卖出,2.63,26800.0,70484.0,11.28,70.48,0.72,0.0,70401.52
湘财,2022-10-24,09:37:27.000000000,300283,温州宏丰,买入,5.4038,12900.0,69709.0,11.15,0.0,0.83,0.0,-69720.15
湘财,2022-10-24,09:36:44.000000000,300641,正丹股份,买入,5.41,13300.0,71953.0,11.51,0.0,0.72,0.0,-71964.51
湘财,2022-10-24,09:34:13.000000000,300368,汇金股份,买入,6.4,11300.0,72320.0,11.57,0.0,0.73,0.0,-72331.57
湘财,2022-10-24,09:33:44.000000000,002998,优彩资源,买入,6.81,10500.0,71505.0,11.44,0.0,0.71,0.0,-71516.44
湘财,2022-10-24,09:33:15.000000000,000532,华金资本,买入,10.31,6900.0,71139.0,11.38,0.0,0.7,0.0,-71150.38
湘财,2022-10-24,09:32:52.000000000,002946,新乳业,买入,10.8,6500.0,70200.0,11.23,0.0,0.66,0.0,-70211.23
湘财,2022-10-24,09:32:46.000000000,002996,顺博合金,买入,13.83,5200.0,71916.0,11.51,0.0,0.72,0.0,-71927.51
湘财,2022-10-24,09:32:29.000000000,300538,同益股份,买入,11.57,6300.0,72891.0,11.66,0.0,0.69,0.0,-72902.66
湘财,2022-10-24,09:35:57.000000000,600827,百联股份,卖出,10.9001,10923.0,119061.47,19.05,119.06,1.2,0.0,118922.16
湘财,2022-10-24,09:34:41.000000000,600829,人民同泰,买入,6.2463,11300.0,70583.0,11.29,0.0,0.77,0.0,-70595.06
湘财,2022-10-24,09:32:27.000000000,600261,阳光照明,卖出,3.24,44600.0,144504.0,23.12,144.38,1.35,0.0,144335.15
湘财,2022-10-24,09:31:49.000000000,600729,重庆百货,卖出,20.25,6800.0,137700.0,22.03,137.83,1.36,0.0,137538.78
湘财,2022-10-24,09:30:07.000000000,600231,凌钢股份,卖出,2.22,62700.0,139194.0,22.27,139.19,1.39,0.0,139031.15
湘财,2022-10-24,09:30:07.000000000,600839,四川长虹,卖出,2.67,26400.0,70488.0,11.28,70.49,0.7,0.0,70405.53
湘财,2022-10-24,09:30:06.000000000,600827,百联股份,卖出,10.97,2977.0,32657.69,5.23,32.66,0.33,0.0,32619.47
湘财,2022-10-11,09:32:03.000000000,000900,现代投资,卖出,3.8465,34400.0,132321.0,21.17,132.35,1.31,0.0,132167.48
湘财,2022-10-11,09:41:06.000000000,600231,凌钢股份,买入,2.2,62700.0,137940.0,22.07,0.0,1.29,0.0,-137963.36
湘财,2022-10-11,09:40:05.000000000,600839,四川长虹,买入,2.6,53200.0,138320.0,22.13,0.0,1.38,0.0,-138343.51
湘财,2022-10-11,09:38:58.000000000,600827,百联股份,买入,9.9524,13900.0,138338.0,22.13,0.0,1.39,0.0,-138361.52
湘财,2022-10-11,09:37:32.000000000,600261,阳光照明,买入,3.1134,44600.0,138857.0,22.22,0.0,1.33,0.0,-138880.55
湘财,2022-10-11,09:36:33.000000000,600729,重庆百货,买入,20.4053,6800.0,138756.0,22.2,0.0,1.39,0.0,-138779.59
湘财,2022-10-11,09:32:21.000000000,600408,安泰集团,卖出,3.0202,43000.0,129868.0,20.78,129.87,1.29,0.0,129716.06
湘财,2022-10-11,09:31:43.000000000,600015,华夏银行,卖出,5.05,27000.0,136350.0,21.82,136.36,1.36,0.0,136190.46
湘财,2022-10-11,09:31:20.000000000,600648,外高桥,卖出,11.64,11900.0,138516.0,22.16,138.52,1.38,0.0,138353.94
湘财,2022-11-28,13:14:01.000000000,300385,雪浪环境,买入,6.2888,11200.0,70435.0,11.27,0.0,0.72,0.0,-70446.27
湘财,2022-11-28,13:11:59.000000000,603686,福龙马,买入,9.0815,7800.0,70836.0,11.33,0.0,0.71,0.0,-70848.04
湘财,2022-11-28,13:10:42.000000000,603186,华正新材,卖出,20.9059,3400.0,71080.0,11.37,71.08,0.7,0.0,70996.85
湘财,2022-11-28,13:10:06.000000000,688165,埃夫特智能,卖出,8.2,4331.0,35514.2,5.68,35.51,0.36,0.0,35472.65
湘财,2022-11-22,10:29:31.000000000,300422,博世科,买入,6.0187,12300.0,74030.0,11.84,0.0,0.73,0.0,-74041.84
湘财,2022-11-22,10:21:33.000000000,688165,埃夫特智能,卖出,9.09,4331.0,39368.79,6.3,39.37,0.39,0.0,39322.73
湘财,2022-11-10,10:08:05.000000000,300368,汇金股份,卖出,6.52,11200.0,73024.0,11.68,73.01,0.77,0.0,72939.31
湘财,2022-11-10,10:09:55.000000000,603186,华正新材,买入,20.9362,3400.0,71183.0,11.39,0.0,0.71,0.0,-71195.1
湘财,2022-11-08,09:49:53.000000000,300429,强力新材,买入,8.35,8300.0,69305.0,11.09,0.0,0.7,0.0,-69316.09
湘财,2022-11-08,09:48:30.000000000,000096,广聚能源,卖出,8.2,8500.0,69700.0,11.15,69.7,0.69,0.0,69619.15
湘财,2022-11-08,09:37:15.000000000,002228,合兴包装,卖出,3.19,22600.0,72094.0,11.54,72.09,0.72,0.0,72010.37
湘财,2022-11-08,09:44:44.000000000,688165,埃夫特智能,买入,8.448,8662.0,73176.3,11.71,0.0,0.73,0.0,-73188.74
湘财,2022-11-08,09:43:19.000000000,600800,渤海化学,卖出,3.79,19300.0,73147.0,11.7,73.15,0.73,0.0,73061.42
湘财,2022-11-08,09:41:27.000000000,688393,安必平医药,买入,22.91,970.0,22222.7,3.56,0.0,0.22,0.0,-22226.48
湘财,2022-11-08,09:40:35.000000000,688393,安必平医药,买入,22.7991,2200.0,50158.0,8.03,0.0,0.51,0.0,-50166.54
湘财,2022-11-08,09:39:37.000000000,600829,人民同泰,卖出,6.2593,11600.0,72608.0,11.62,72.63,0.74,0.0,72523.01
湘财,2022-11-08,09:38:25.000000000,688321,微芯生物,买入,23.9998,2999.0,71975.5,11.52,0.0,0.72,0.0,-71987.74
湘财,2022-12-22,10:20:27.000000000,300538,同益股份,卖出,10.6284,6300.0,66959.0,10.71,66.95,0.65,0.0,66881.34
湘财,2022-12-22,10:19:27.000000000,002023,海特高新,买入,8.2848,7900.0,65450.0,10.47,0.0,0.66,0.0,-65460.47
湘财,2022-12-22,10:18:38.000000000,300385,雪浪环境,卖出,5.9007,11200.0,66088.0,10.57,66.09,0.67,0.0,66011.34
湘财,2022-12-22,10:12:26.000000000,000751,锌业股份,买入,3.06,24500.0,74970.0,12.0,0.0,0.75,0.0,-74982.0
湘财,2022-12-22,10:25:30.000000000,600980,北矿科技,买入,14.06,5000.0,70300.0,11.25,0.0,0.69,0.0,-70311.94
湘财,2022-12-22,10:06:35.000000000,600097,开创国际,卖出,10.76,7000.0,75320.0,12.05,75.32,0.76,0.0,75231.87
湘财,2022-12-19,09:45:46.000000000,002381,双箭股份,卖出,6.82,11800.0,80476.0,12.88,80.48,0.8,0.0,80382.64
湘财,2022-12-19,10:26:40.000000000,600967,内蒙一机,买入,8.4,9000.0,75600.0,12.1,0.0,0.77,0.0,-75612.87
湘财,2022-12-13,13:53:28.000000000,300155,安居宝,买入,4.8751,12400.0,60451.0,9.67,0.0,0.53,0.0,-60460.67
湘财,2022-12-13,13:49:29.000000000,300155,安居宝,买入,4.86,1600.0,7776.0,1.24,0.0,0.08,0.0,-7777.24
湘财,2022-12-13,13:45:38.000000000,002998,优彩资源,卖出,7.49,10400.0,77896.0,12.46,77.9,0.76,0.0,77805.64
湘财,2022-12-13,13:34:35.000000000,605066,天正电气,买入,7.892,8500.0,67082.0,10.73,0.0,0.68,0.0,-67093.41
湘财,2022-12-13,13:31:47.000000000,688393,安必平医药,卖出,24.28,3170.0,76967.6,12.31,76.96,0.77,0.0,76877.56
湘财,2022-12-07,10:42:50.000000000,600097,开创国际,买入,10.0261,7000.0,70183.0,11.23,0.0,0.7,0.0,-70194.93
湘财,2022-12-07,10:40:42.000000000,688321,微芯生物,卖出,23.7188,2264.0,53699.44,8.59,53.7,0.53,0.0,53636.62
湘财,2022-12-07,10:39:59.000000000,688321,微芯生物,卖出,23.73,735.0,17441.55,2.79,17.45,0.17,0.0,17421.14
湘财,2023-01-31,09:43:35.000000000,002440,闰土股份,买入,7.47,9400.0,70218.0,11.23,0.0,0.7,0.0,-70229.23
湘财,2023-01-31,09:41:46.000000000,300641,正丹股份,卖出,5.3937,13100.0,70657.0,11.31,70.67,0.74,0.0,70575.02
湘财,2023-01-31,09:35:05.000000000,300473,德尔股份,买入,16.3491,4400.0,71936.0,11.51,0.0,0.72,0.0,-71947.51
湘财,2023-01-31,09:33:53.000000000,300215,电科院,买入,5.6017,12900.0,72262.0,11.56,0.0,0.73,0.0,-72273.56
湘财,2023-01-31,09:35:32.000000000,601002,晋亿实业,买入,4.77,15600.0,74412.0,11.91,0.0,0.74,0.0,-74424.65
湘财,2023-01-31,09:33:08.000000000,688011,新光光电科技股份,卖出,24.39,3000.0,73170.0,11.71,73.17,0.73,0.0,73084.39
湘财,2023-01-31,09:32:35.000000000,600980,北矿科技,卖出,15.1902,4800.0,72913.0,11.67,72.92,0.75,0.0,72827.66
湘财,2023-01-31,09:31:56.000000000,600120,浙江东方,卖出,3.76,19400.0,72944.0,11.67,72.95,0.72,0.0,72858.66
湘财,2023-01-16,10:54:19.000000000,688011,新光光电科技股份,买入,23.03,3000.0,69090.0,11.05,0.0,0.7,0.0,-69101.75
湘财,2023-01-16,10:52:42.000000000,605066,天正电气,卖出,8.02,8500.0,68170.0,10.91,68.17,0.68,0.0,68090.24
湘财,2023-01-05,13:07:08.000000000,000751,锌业股份,卖出,3.04,24500.0,74480.0,11.92,74.48,0.76,0.0,74393.6
湘财,2023-01-05,13:05:44.000000000,300283,温州宏丰,卖出,5.04,13200.0,66528.0,10.64,66.52,0.67,0.0,66450.84
湘财,2023-01-05,13:07:38.000000000,600022,山东钢铁,买入,1.5,50100.0,75150.0,12.02,0.0,0.75,0.0,-75162.77
湘财,2023-01-05,13:06:27.000000000,603113,金能科技,买入,9.24,7100.0,65604.0,10.5,0.0,0.65,0.0,-65615.15
湘财,2023-01-04,11:14:47.000000000,600120,浙江东方,买入,3.62,19400.0,70228.0,11.24,0.0,0.7,0.0,-70239.94
湘财,2023-01-04,11:13:44.000000000,600980,北矿科技,卖出,14.22,200.0,2844.0,0.46,2.84,0.02,0.0,2840.68
湘财,2023-01-04,11:10:43.000000000,600967,内蒙一机,卖出,8.44,7800.0,65832.0,10.53,65.83,0.66,0.0,65754.98
湘财,2023-01-03,09:42:56.000000000,300429,强力新材,卖出,7.23,8300.0,60009.0,9.6,59.99,0.64,0.0,59939.41
湘财,2023-01-03,09:41:17.000000000,300422,博世科,卖出,5.8,12300.0,71340.0,11.41,71.34,0.71,0.0,71257.25
湘财,2023-01-03,09:46:19.000000000,600273,嘉化能源,买入,8.38,8300.0,69554.0,11.13,0.0,0.69,0.0,-69565.82
湘财,2023-01-03,09:45:39.000000000,600967,内蒙一机,卖出,8.29,1200.0,9948.0,1.59,9.95,0.1,0.0,9936.36
湘财,2023-01-03,09:42:14.000000000,600835,上海机电,买入,11.2279,6300.0,70736.0,11.32,0.0,0.67,0.0,-70747.99
湘财,2023-02-27,09:45:59.000000000,300429,强力新材,买入,8.01,9300.0,74493.0,11.92,0.0,0.75,0.0,-74504.92
湘财,2023-02-27,09:43:02.000000000,300701,森霸传感,卖出,9.34,2400.0,22416.0,3.59,22.42,0.22,0.0,22389.99
湘财,2023-02-27,09:42:13.000000000,300701,森霸传感,卖出,9.35,5800.0,54230.0,8.68,54.24,0.55,0.0,54167.08
湘财,2023-02-27,09:38:54.000000000,600727,鲁北化工,买入,6.87,10900.0,74883.0,11.98,0.0,0.75,0.0,-74895.73
湘财,2023-02-27,09:34:45.000000000,600835,上海机电,卖出,12.37,6300.0,77931.0,12.47,77.98,0.74,0.0,77839.81
湘财,2023-02-23,13:01:19.000000000,300279,和晶科技,买入,5.53,13500.0,74655.0,11.94,0.0,0.75,0.0,-74666.94
湘财,2023-02-23,13:00:05.000000000,300651,金陵体育,卖出,23.8962,3200.0,76468.0,12.23,76.49,0.76,0.0,76379.28
湘财,2023-02-21,09:38:57.000000000,002743,富煌钢构,买入,5.9,12700.0,74930.0,11.99,0.0,0.75,0.0,-74941.99
湘财,2023-02-21,09:37:16.000000000,300385,雪浪环境,买入,6.5293,11500.0,75087.0,12.01,0.0,0.77,0.0,-75099.01
湘财,2023-02-21,09:35:53.000000000,300259,新天科技,卖出,3.68,20100.0,73968.0,11.83,73.98,0.74,0.0,73882.19
湘财,2023-02-21,09:38:14.000000000,600273,嘉化能源,卖出,8.93,8300.0,74119.0,11.86,74.11,0.75,0.0,74032.28
湘财,2023-02-20,09:33:07.000000000,300422,博世科,买入,6.15,12000.0,73800.0,11.81,0.0,0.76,0.0,-73811.81
湘财,2023-02-20,09:32:00.000000000,300701,森霸传感,买入,9.1559,8200.0,75078.0,12.01,0.0,0.8,0.0,-75090.01
湘财,2023-02-20,09:30:26.000000000,300107,建新股份,卖出,5.66,13000.0,73580.0,11.77,73.58,0.75,0.0,73494.65
湘财,2023-02-20,09:30:17.000000000,300215,电科院,卖出,5.8716,12900.0,75743.0,12.12,75.75,0.76,0.0,75655.13
湘财,2023-02-17,10:32:28.000000000,688069,德林海环保,买入,28.64,2600.0,74464.0,11.91,0.0,0.75,0.0,-74476.66
湘财,2023-02-17,10:27:28.000000000,603739,蔚蓝生物,卖出,14.2904,5200.0,74310.0,11.89,74.31,0.74,0.0,74223.06
湘财,2023-02-16,09:39:31.000000000,002442,龙星化工,买入,5.74,13000.0,74620.0,11.94,0.0,0.78,0.0,-74631.94
湘财,2023-02-16,09:38:51.000000000,300190,维尔利,卖出,4.47,16800.0,75096.0,12.02,75.09,0.75,0.0,75008.89
湘财,2023-02-15,13:25:18.000000000,300107,建新股份,买入,5.77,13000.0,75010.0,12.0,0.0,0.76,0.0,-75022.0
湘财,2023-02-15,13:24:22.000000000,300708,聚灿光电,卖出,10.6414,7300.0,77682.0,12.43,77.68,0.79,0.0,77591.89
湘财,2023-02-15,09:42:41.000000000,300190,维尔利,买入,4.45,16800.0,74760.0,11.96,0.0,0.75,0.0,-74771.96
湘财,2023-02-15,09:42:01.000000000,603113,金能科技,卖出,10.56,7100.0,74976.0,12.0,74.99,0.74,0.0,74888.27
湘财,2023-02-09,09:42:33.000000000,300259,新天科技,买入,3.63,20100.0,72963.0,11.67,0.0,0.73,0.0,-72974.67
湘财,2023-02-09,09:36:19.000000000,002440,闰土股份,卖出,7.64,9400.0,71816.0,11.49,71.82,0.72,0.0,71732.69
湘财,2023-02-09,09:39:30.000000000,600844,丹化科技,买入,3.2,22800.0,72960.0,11.67,0.0,0.72,0.0,-72972.39
湘财,2023-02-09,09:37:49.000000000,600022,山东钢铁,卖出,1.54,50100.0,77154.0,12.34,77.15,0.77,0.0,77063.74
湘财,2023-02-07,10:04:22.000000000,002023,海特高新,卖出,8.99,7900.0,71021.0,11.36,71.03,0.72,0.0,70938.61
湘财,2023-02-07,10:05:31.000000000,603739,蔚蓝生物,买入,14.27,5200.0,74204.0,11.87,0.0,0.73,0.0,-74216.6
湘财,2023-02-06,09:54:36.000000000,300651,金陵体育,买入,23.5491,3200.0,75357.0,12.06,0.0,0.75,0.0,-75369.06
湘财,2023-02-06,09:53:11.000000000,300155,安居宝,卖出,5.2,14000.0,72800.0,11.65,72.8,0.73,0.0,72715.55
湘财,2023-02-06,09:51:31.000000000,300708,聚灿光电,买入,10.18,7300.0,74314.0,11.89,0.0,0.74,0.0,-74325.89
湘财,2023-02-06,09:49:51.000000000,300473,德尔股份,卖出,17.9005,4400.0,78762.0,12.6,78.76,0.79,0.0,78670.64
湘财,2023-02-06,09:45:19.000000000,002288,超华科技,买入,5.14,14600.0,75044.0,12.01,0.0,0.75,0.0,-75056.01
湘财,2023-02-06,09:42:16.000000000,603686,福龙马,卖出,10.32,7800.0,80496.0,12.88,80.5,0.8,0.0,80401.82
湘财,2023-03-30,13:00:02.000000000,002023,海特高新,买入,9.2,5500.0,50600.0,8.1,0.0,0.53,0.0,-50608.1
湘财,2023-03-27,09:42:45.000000000,002479,富春环保,买入,4.7,10700.0,50290.0,8.05,0.0,0.5,0.0,-50298.05
湘财,2023-03-27,09:41:06.000000000,002023,海特高新,卖出,9.66,5400.0,52164.0,8.35,52.16,0.52,0.0,52103.49
湘财,2023-03-27,09:39:57.000000000,002672,东江环保,买入,6.09,8300.0,50547.0,8.09,0.0,0.51,0.0,-50555.09
湘财,2023-03-27,09:31:40.000000000,002055,得润电子,卖出,10.0,5400.0,54000.0,8.64,54.0,0.54,0.0,53937.36
湘财,2023-03-27,09:31:05.000000000,300385,雪浪环境,卖出,6.6762,11500.0,76776.0,12.28,76.79,0.78,0.0,76686.93
湘财,2023-03-27,09:36:13.000000000,600626,申达股份,买入,3.78,13300.0,50274.0,8.04,0.0,0.49,0.0,-50282.53
湘财,2023-03-27,09:34:14.000000000,603111,康尼机电,买入,4.6169,10900.0,50324.0,8.05,0.0,0.48,0.0,-50332.53
湘财,2023-03-22,09:35:27.000000000,300006,莱美药业,买入,4.02,12400.0,49848.0,7.98,0.0,0.5,0.0,-49855.98
湘财,2023-03-22,09:33:32.000000000,002055,得润电子,买入,9.3961,5400.0,50739.0,8.12,0.0,0.51,0.0,-50747.12
湘财,2023-03-21,09:37:31.000000000,002023,海特高新,买入,9.3,5400.0,50220.0,8.04,0.0,0.5,0.0,-50228.04
湘财,2023-03-21,09:31:40.000000000,002521,齐峰新材,卖出,5.8371,9000.0,52534.0,8.41,52.53,0.52,0.0,52473.06
湘财,2023-03-21,09:45:30.000000000,603988,中电电机,卖出,9.95,5000.0,49750.0,7.96,49.76,0.5,0.0,49691.78
湘财,2023-03-21,09:32:17.000000000,600261,阳光照明,卖出,3.41,14600.0,49786.0,7.97,49.78,0.49,0.0,49727.76
湘财,2023-03-17,09:30:07.000000000,300259,新天科技,买入,3.61,13900.0,50179.0,8.03,0.0,0.5,0.0,-50187.03
湘财,2023-03-17,09:30:06.000000000,300190,维尔利,买入,4.3572,11400.0,49672.0,7.95,0.0,0.46,0.0,-49679.95
湘财,2023-03-16,09:35:14.000000000,002392,北京利尔,卖出,3.7404,15900.0,59472.0,9.52,59.48,0.6,0.0,59403.0
湘财,2023-03-16,09:33:09.000000000,300422,博世科,买入,6.0294,8300.0,50044.0,8.01,0.0,0.5,0.0,-50052.01
湘财,2023-03-16,09:30:55.000000000,000751,锌业股份,卖出,3.31,16300.0,53953.0,8.63,53.95,0.53,0.0,53890.42
湘财,2023-03-16,09:30:23.000000000,300221,银禧科技,卖出,5.2125,9500.0,49519.0,7.92,49.51,0.51,0.0,49461.57
湘财,2023-03-16,09:30:05.000000000,002054,德美化工,卖出,7.5,6800.0,51000.0,8.16,51.0,0.51,0.0,50940.84
湘财,2023-03-16,09:30:03.000000000,600727,鲁北化工,卖出,6.7486,10900.0,73560.0,11.77,73.56,0.73,0.0,73473.94
湘财,2023-03-13,09:32:32.000000000,300304,云意电气,买入,4.63,10800.0,50004.0,8.0,0.0,0.5,0.0,-50012.0
湘财,2023-03-13,09:38:27.000000000,600643,爱建集团,买入,5.65,9100.0,51415.0,8.23,0.0,0.51,0.0,-51423.74
湘财,2023-03-13,09:30:03.000000000,600844,丹化科技,卖出,3.0202,22800.0,68860.0,11.02,68.86,0.68,0.0,68779.44
湘财,2023-03-10,10:13:08.000000000,300016,北陆药业,买入,6.6569,7500.0,49927.0,7.99,0.0,0.51,0.0,-49934.99
湘财,2023-03-10,10:11:39.000000000,000903,云内动力,买入,2.64,19000.0,50160.0,8.03,0.0,0.5,0.0,-50168.03
湘财,2023-03-10,10:10:44.000000000,002054,德美化工,买入,7.45,6800.0,50660.0,8.11,0.0,0.54,0.0,-50668.11
湘财,2023-03-10,10:09:32.000000000,002521,齐峰新材,买入,5.5984,9000.0,50386.0,8.06,0.0,0.51,0.0,-50394.06
